C:\Anaconda3\envs\data_scraper.py\python.exe C:/Users/kristof.drexler/Desktop/corona_tracker_HU-master/data_scraper.py
2020.03.17. ,  15:07 :  No new data found.
2020.03.17. ,  15:08 :  No new data found.
2020.03.17. ,  15:09 :  No new data found.
2020.03.17. ,  15:10 :  No new data found.
2020.03.17. ,  15:11 :  No new data found.
2020.03.17. ,  15:12 :  No new data found.
2020.03.17. ,  15:13 :  No new data found.
2020.03.17. ,  15:14 :  No new data found.
2020.03.17. ,  15:15 :  No new data found.
2020.03.17. ,  15:16 :  No new data found.
2020.03.17. ,  15:17 :  No new data found.
2020.03.17. ,  15:18 :  No new data found.
2020.03.17. ,  15:19 :  No new data found.
2020.03.17. ,  15:20 :  No new data found.
2020.03.17. ,  15:21 :  No new data found.
2020.03.17. ,  15:22 :  No new data found.
2020.03.17. ,  15:23 :  No new data found.
2020.03.17. ,  15:24 :  No new data found.
2020.03.17. ,  15:25 :  No new data found.
2020.03.17. ,  15:26 :  No new data found.
2020.03.17. ,  15:27 :  No new data found.
2020.03.17. ,  15:28 :  No new data found.
2020.03.17. ,  15:29 :  [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond
2020.03.17. ,  15:32 :  <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>
2020.03.17. ,  15:33 :  <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>
2020.03.17. ,  15:35 :  <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>
2020.03.17. ,  15:36 :  <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>
2020.03.17. ,  15:38 :  <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>
2020.03.17. ,  15:39 :  <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>
2020.03.17. ,  15:40 :  <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>
2020.03.17. ,  15:42 :  <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>
2020.03.17. ,  15:43 :  <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>
2020.03.17. ,  15:44 :  <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>
2020.03.17. ,  15:46 :  <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>

Process finished with exit code -1
